Date,Close,prediction,sentimen
4/22/2022,39740.32031,39964.38786,negatif
4/25/2022,40458.30859,39499.90742,positif
4/28/2022,39773.82813,39410.16793,negatif
5/3/2022,37750.45313,38219.14613,negatif
5/8/2022,34059.26563,34665.02283,negatif
5/15/2022,31305.11328,30654.86422,negatif
5/22/2022,30323.72266,29741.28726,negatif
5/23/2022,29098.91016,30044.04829,negatif
5/25/2022,29562.36133,29623.55393,positif
5/30/2022,31726.39063,30804.62579,positif
5/31/2022,31792.31055,32084.92981,netral
6/2/2022,30467.48828,29744.4823,negatif
6/5/2022,29906.66211,29742.40892,negatif
6/6/2022,31370.67188,30819.17647,positif
6/24/2022,21231.65625,21147.42565,negatif
7/6/2022,20548.24609,20291.11447,negatif
7/12/2022,19323.91406,19459.18643,negatif
7/15/2022,20836.32813,20881.93029,positif
7/29/2022,23804.63281,24122.53146,positif
8/3/2022,22846.50781,23069.05617,negatif
8/7/2022,23175.89063,23117.21787,positif
8/8/2022,23809.48633,23613.69415,positif
8/10/2022,23947.64258,23418.58304,netral
8/15/2022,24136.97266,24438.72431,netral
8/17/2022,23335.99805,23767.44536,negatif
8/19/2022,20877.55273,22220.06943,negatif
8/23/2022,21528.08789,21268.13524,positif
8/29/2022,20297.99414,19801.18696,negatif
9/8/2022,19329.83398,19068.58356,negatif
9/12/2022,22370.44922,21845.79392,positif
9/23/2022,19297.63867,19079.41585,negatif
9/25/2022,18802.09766,18782.8107,negatif
9/28/2022,19426.7207,19025.96806,positif
9/30/2022,19431.78906,19604.48024,netral
10/7/2022,19546.84961,19612.18161,netral
10/11/2022,19051.41797,18936.1024,negatif
10/14/2022,19185.65625,19432.64178,netral
10/18/2022,19334.41602,19388.03457,netral
10/25/2022,20095.85742,19659.26998,positif
11/5/2022,21282.69141,21225.87153,positif
11/6/2022,20926.48633,21130.04742,negatif
11/8/2022,18541.27148,18972.31262,negatif
11/30/2022,17168.56641,16742.83613,negatif
12/1/2022,16967.13281,17107.32227,negatif
12/11/2022,17104.19336,17097.75488,netral
12/15/2022,17364.86523,17643.87179,positif
12/19/2022,16439.67969,16615.27595,negatif
12/21/2022,16817.53516,16820.44745,positif
12/26/2022,16919.80469,16824.88226,netral
1/2/2023,16688.4707,16634.59808,negatif
1/14/2023,20976.29883,20636.08495,positif
1/18/2023,20688.78125,21068.79197,negatif
1/20/2023,22676.55273,21852.56067,positif
1/25/2023,23117.85938,23022.21565,positif
2/3/2023,23449.32227,23402.35733,positif
2/16/2023,23623.47461,24704.27945,netral
2/23/2023,23947.49219,24004.60198,positif
3/4/2023,22353.34961,22090.30136,negatif
3/6/2023,22429.75781,22408.90918,netral
3/9/2023,20363.02148,21060.11716,negatif
3/13/2023,24197.5332,23539.41217,positif
3/17/2023,27423.92969,26413.14747,positif
3/26/2023,27994.33008,27694.4441,positif
4/8/2023,27947.79492,27945.1418,netral
4/17/2023,29445.04492,29865.44321,positif
4/19/2023,28822.67969,29775.24851,negatif
4/23/2023,27591.38477,27583.64453,negatif
4/26/2023,28422.70117,28956.07088,positif
4/27/2023,29473.78711,29227.69875,positif
5/3/2023,29006.30859,28706.07891,negatif
5/19/2023,26890.12891,26850.69261,negatif
5/20/2023,27129.58594,26918.46991,netral
5/31/2023,27219.6582,27369.07772,netral
6/3/2023,27075.12891,27161.0663,netral
6/5/2023,25760.09766,26490.33685,negatif
6/10/2023,25851.24023,26116.74514,netral
6/11/2023,25940.16797,25843.69838,netral
6/18/2023,26336.21289,26596.71853,positif
6/23/2023,30695.46875,30783.7394,positif
6/26/2023,30271.13086,30258.38322,negatif
7/10/2023,30414.4707,30504.51177,netral
7/18/2023,29856.5625,29912.09218,negatif
7/20/2023,29792.01563,29869.86009,netral
7/26/2023,29354.97266,29263.88229,negatif
7/29/2023,29356.91797,29287.52722,netral
8/8/2023,29765.49219,29663.49719,positif
8/19/2023,26096.20508,25709.77289,negatif
8/29/2023,27727.39258,27092.33627,positif
9/3/2023,25969.56641,25926.29881,negatif
9/4/2023,25812.41602,25905.31,netral
9/9/2023,25895.67773,25849.92659,netral
9/24/2023,26256.82617,26501.49411,positif
9/25/2023,26298.48047,26158.59361,netral
9/30/2023,26967.91602,27025.08944,positif
10/1/2023,27983.75,27543.05998,positif
10/4/2023,27799.39453,27458.13138,netral
10/6/2023,27946.59766,27761.45527,netral
10/8/2023,27935.08984,27983.44041,netral
10/9/2023,27583.67773,27689.34847,negatif
10/12/2023,26756.79883,26648.41576,negatif
10/21/2023,29918.41211,30078.85725,positif
10/26/2023,34156.64844,34479.49203,positif
10/28/2023,34089.57422,34000.88848,netral
10/31/2023,34667.78125,34430.48153,positif
11/9/2023,36693.125,36832.93985,positif
11/12/2023,37054.51953,37005.51576,netral
11/14/2023,35537.64063,35933.06179,negatif
11/23/2023,37289.62109,37314.33503,positif
11/30/2023,37712.74609,37855.61368,positif
12/1/2023,38688.75,38241.52873,positif
12/6/2023,43746.44531,44284.34279,positif
12/14/2023,43023.97266,42922.05044,negatif
12/15/2023,41929.75781,42705.63351,negatif
12/18/2023,42623.53906,41671.56747,positif
12/19/2023,42270.52734,42727.82314,netral
12/23/2023,43739.54297,43705.25143,positif
1/8/2024,46970.50391,45412.84439,positif
1/16/2024,43154.94531,42841.35636,negatif
